Q,A,,,,
在云化客户端中 ，如何切换默认电子税局账户 ?,"在云化客户端中切换默认电子税局账户 ，可以执行以下步骤: 
打开客户端并登录到个人账户 。 点击菜单栏中的“账户设置”选项。 在账户设置页面中，找到并点击需要切换为默认的电子税局账户 。 确认切换操作 ，并等待切换完成 。",,,,
如果中途不解绑账户 ，可以更改默认电子税局账户吗 ?,如果您在绑定默认电子税局账户后想更改默认账户 ，需要先解绑当前默认账户 ，然后重新绑定新的默认账户 。因为默认账 户是与其他用户关联的 ，所以需要先解绑原先绑定的账户 ，然后才能绑定新的账户 。,,,,
电子税局中收票权益对应的身份有哪些 ?,每个税务局可能有所不同 ，一般办税员可以处理相关事务 。,,,,
客户有电子税局账户 ，但只有开票权限 ，没有收票功 能，原因是什么 ?,客户的电子税局账户角色是财务管理员 ，因此只有开票权限而没有收票功能 。开票和收票权限通常与账户的身份类型相关 。,,,,
客户如何开通电子税局收票权益 ?,客户需要向公司的财务或相关负责人确认 ，是否可以为他开通收票权益 。如果可以，可以通过电子税务局或联系当地税务 机关进行申请 。,,,,
开通收票权益需要提供哪些信息或资料 ?,"具体需要提供的信息或资料可能因地区和税务局而异 ，但通常需要提供以下信息: 
公司名称和纳税人识别号 客户的姓名 、身份证号码和联系方式 税务数字账号 (如果已经拥有 )",,,,
哪些身份类型可以拥有开 /收票权限?,"根据电子税务局的规定 ，以下身份类型通常可以拥有开票权限 : 
财务管理员 办税员 开票员 以下身份类型通常可以拥有收票权限 : 
财务管理员 办税员 收票员 但具体是否拥有权限还需根据税务局的规定来确定 。",,,,
如果公司业务量大 ，如何处理税务数字账户申请的问 题?,如果公司业务量大，可能需要增加税务数字账户的数量来满足业务需求 。在这种情况下，建议联系当地税务机关或电子税 务局客服，咨询具体的申请流程和注意事项 。,,,,
发票云是否能够设置同时开具全电发票和纸电一体 ?,不能同时开具全电发票和纸电一体 ，需要切换,,,,
如何进行全电发票和纸电发票切换设置 ?,在金税配置时，一般会有两条，一个是电票的，一个是纸票的，在客户开发票的时候可以有一个选择 。,,,,
如果全电按照指引配置完毕 ，客户端中无法显示电票数 量，可能的原因是什么 ?,可能的原因需要进一步排查 ，可能是客户端设置或系统配置的问题 。如果客户在开票时提示没有份数 ，可能需要根据具体 情况进行解决 。,,,,
如何进行不同发票类型的切换 ?,在开票时 ，需要勾选对应的税盘信息 ，以确保开具正确的发票类型 。对于全电发票 ，需要确保勾选了主盘 ，然后对纸电一 体进行修改 。,,,,
如何处理全电发票和纸电一体之间的切换 ?,在切换全电发票和纸电一体时 ，需要确保对应的税盘信息正确勾选 。对于全电发票 ，需要确保勾选了主盘 ;对于纸电一 体，需要将其修改为 0。,,,,
"如何在发票云微信公众号添加开票员账户应该如何操
作?",如果需要在发票云微信公众号中添加开票员 ，需要客户在微信公众号中进行操作 。具体的步骤可以参考微信公众号中的 指引或者联系客服人员进行咨询 。https://www.yuque.com/piaozone/hniny6/dldpxw93vt7e73gt?singleDoc#,,,,
客户想在星空 ERP中使用短信套餐服务 ，但是未购买开 票服务，是否可以对接星空 ERP?,不可以。我们的短信服务只用于开票推送发票短信 。,,,,
电子影像会计档案激活后是否需要分配公司 ?,不用，他是租户级别的 。只要激活就可以,,,,
租户订购流量和税号已用流量是指什么东西 ?,租户订购流量是指客户在购买收票产品时所定的流量 ，而税号已用流量是指客户在购买收票产品后已经消耗的流量数量 。,,,,
为什么客户在商家平台看到的流量数据不准确 ?,商家平台的流量数据目前存在一些问题 ，数据可能不准确或延迟更新 。具体原因可能包括商家平台的系统问题 、数据统计 方式不准确等因素 。具体要咨询人工客服,,,,
如何查询客户实际消耗的流量数据 ?,可以通过运营系统内部查询实时已消耗票量路径来查看客户实际消耗的流量数据 。具体操作步骤包括:进入数据统计分 析，添加条件，筛选条件，查询并导出文件查看已消耗票量统计分析表 。,,,,
客户问发票云扫码枪怎么用以及怎么配置 ，关于扫码枪 的品牌规格有没有什么限制 ?,对于发票云扫码枪的使用和配置 ，一般需要咨询卖扫码枪的商家 。不同品牌和规格的扫码枪可能有一些不同的使用方法和 配置要求。同时，没有限制特定品牌和规格的限制 。,,,,
客户批量导入全电发票时出现问题 ，如何解决?,对于批量导入全电发票的问题 ，首先需要确认客户是否已经进行了全电升级配置 。如果客户已经升级配置 ，可以尝试使用 商家平台提供的导入模板进行导入 。如果仍然无法解决问题 ，可以联系商家平台的客服寻求帮助 。,,,,
为什么商家管理平台看不到有权益 ，但是确认有权益 ?,可能是由于该用户没有访问权限 ，或者是因为该用户没有与该商家管理平台绑定成功 。联系人工客服,,,,
为什么在商家管理平台看不到客户的数据 ?,可能是由于该客户的数据没有与该商家管理平台绑定成功 ，或者是由于该客户的数据被重复数据替换 。联系人工客服,,,,
如何在商家管理平台中重新添加客户的数据 ?,可以在商家管理平台的 “新增”功能中重新添加客户的数据 ，即可重新绑定客户与商家管理平台的关系 。,,,,
为什么需要重新绑定用户与商家管理平台的关系 ?,如果用户的信息与商家管理平台的信息不匹配 ，或者用户的信息被重复数据替换 ，就需要重新绑定用户与商家管理平台的 关系，以确保数据的准确性和完整性 。,,,,
如何在商家管理平台中删除重复数据 ?,可以在商家管理平台的 “删除”功能中删除重复数据 ，以避免数据的不一致和错误 。,,,,
重置用户的权限如何操作 ?,可以联系商家管理平台的客服人员 ，提供用户名和相关信息 ，然后根据客服的指导进行操作来重置用户的权限 。,,,,
客户问他们公司买产品 ，除了产品本身的费用 ，还有一 个运费，但是他们不是知道这个运费怎么开 ，单独建一 个运费物料一般开不出来 ，这个一般怎么处理 ?,"针对这种情况 ，可以考虑以下两种方法 1: 
将运费加入到货款中开票。这种方法适用于运费与货款不是分开计算的情况 ，例如在购买家具时，运费和货款是一起计算 的。在开具发票时，需要在发票抬头中注明运费的金额 ，然后将运费加入到货款中进行开票 。 将运费单独开票。这种方法适用于运费与货款是分开计算的情况 ，例如在购买原材料时，运费和货款是分开计算的。在开 具发票时，可以先开具货款的发票 ，然后再单独开具运费的发票 。",,,,
小程序邮箱取票功能中 ，单次最多可以添加多少个附 件?,在小程序邮箱取票功能中 ，单次最多可以添加的附件数量没有特定的限制 ，但每个附件的大小不能超过 10M。,,,,
"为什么小程序邮箱取票功能会有附件数量和大小的限
制?",为了保证小程序邮箱取票功能的正常运行和系统稳定性 ，开发人员对附件数量和大小设置了一定的限制 。过多的附件数量 或过大的附件大小可能会导致系统崩溃或运行缓慢 。,,,,
如果需要发送多个附件 ，应该如何操作 ?,如果需要发送多个附件 ，可以分批发送或使用其他工具 ，如邮件客户端或云存储服务 ，以实现更大的附件传输 。,,,,
"为什么小程序邮箱取票功能不提供更大的附件传输支
持?",小程序邮箱取票功能的主要目的是提供便捷的票务管理服务 ，而不是传输大量附件。因此，为了确保系统的稳定性和正常 运行，开发人员对附件数量和大小进行了一定的限制 ，目前暂不支持更大的附件传输支持 。,,,,
旅客姓名字段是否在发票云日志中出现 ?,发票云日志中没有旅客姓名字段 。,,,,
如果发票云日志中没有旅客姓名字段 ，是否支持二开增 加?,如果发票云日志中没有旅客姓名字段 ，则不支持在二开中增加该字段 。需要与发票云相关部门处理 。,,,,
在导入飞机行程单时 ，发票云接口是否包含乘机人姓名 和身份证信息 ?,发票云接口中的乘机人字段包含乘机人姓名 ，而身份证信息字段在票面中可能为空 。,,,,
现在的发票助手是否会对企业的授权信息进行校验 ?,目前的发票助手没有对企业的授权信息进行校验 ，但建议使用企业的授权信息进行开票 ，以避免可能出现的问题 。,,,,
如果使用租户授权信息中的 clientId进行开票，是否会 报错?,如果使用租户授权信息中的 clientId进行开票，有可能会导致报错。因为租户授权信息和企业的授权信息可能存在不一致的 情况，这可能会导致开票失败 。,,,,
租户下只有一家企业 ，可以使用租户的授权信息吗 ?,如果租户下只有一家企业 ，可以使用该企业的授权信息进行开票 。因为租户的授权信息是针对整个租户的 ，而不是针对具 体企业的 。,,,,
租户下有多家企业 ，可以使用租户的授权信息吗 ?,如果租户下有多家企业 ，每家企业需要使用各自的授权信息进行开票 ，而不能使用租户的授权信息 。因为每个企业都有自 己的税务登记信息和授权信息 ，需要确保开票信息的准确性和合法性 。,,,,
如果使用租户的授权信息进行开票 ，会有什么后果?,如果在开票时使用了租户的授权信息 ，系统会拒绝开票，导致开票失败。,,,,
发票认证客户端是否限定在某一台电脑上 ?,发票认证客户端一般不限制在某一台电脑上使用 ，但需要根据具体情况而定 。如果客户使用的是金三的税控设备 ，那么一 般需要在插有税控设备的电脑上进行认证操作 ;如果客户使用的是金四的税控设备 ，那么可以在任意一台能够运行客户端 的Windows电脑上进行认证操作 。,,,,
对于金三的税号 ，需要在插有税盘的电脑上进行认证操 作吗?,如果客户使用的是金三的税控设备 ，通常需要在插有税盘的电脑上进行认证操作 。因为金三的税控设备需要借助税盘来进 行认证操作 。如果客户的税控设备是金四的 ，则不需要使用税盘 ，可以在任意一台能够运行客户端的 Windows 电脑上进行 认证操作 。,,,,
如果使用金四云化的服务 ，客户自己的电脑是否需要安 装发票认证客户端软件 ?,如果客户使用的是金四云化的服务 ，一般情况下客户的电脑不需要安装发票认证客户端软件 。金四云化的服务通常会提供 在线的发票认证功能，客户可以通过访问云化服务网站来使用该功能 。但是，如果客户需要在自己的电脑上进行发票认证 操作，那么可以安装相应的发票认证客户端软件和平台 。,,,,
电子凭证助手支持上传 XML文件吗?,电子凭证助手支持上传 XML文件，特别是与数电票相关的 XML文件。,,,,
有关数电票的 XML文件，能否进行相关操作 ?,可以对数电票的XML文件进行相关操作。具体来说，可以上传XML文件，通过电子凭证助手实现发票信息的读取和验证 。,,,,
凭证电子归档成功 ，但在电子档案系统中查询不到 ，如 何处理 ?,如果凭证电子归档成功 ，但在电子档案系统中查询不到 ，可能有几个原因 。首先，需要确认档案系统是私有化还是公有云 。如果是私有化或本地部署的系统 ，可能需要检查档案中台 ->归档日志，查看对应账簿下是否有数据 。如果系统是公有 云，可能需要检查系统设置和权限等 。,,,,
归档任务排队执行的原因是什么 ?,归档任务排队执行的原因可能是由于服务器重启导致正在归档的任务卡死 。这可能是由于服务器负载过高、网络问题或系 统故障等原因导致的。在处理这种情况时，可以尝试删除卡死的任务并等待系统重新执行 ，或者通过其他方式优化系统性 能和稳定性 。,,,,
归档任务卡死如何解决 ?,"如果归档任务卡死 ，可以尝试以下方法来解决问题 : 1、检查服务器负载和性能 ，确保服务器能够承受当前的任务负载 。如果负载过高 ，可以考虑升级服务器配置或减少任务 数量。 2、检查网络连接和稳定性 ，确保服务器能够正常与档案系统进行通信 。如果网络不稳定 ，可以考虑优化网络设置或使用 更稳定的网络环境 。 3、检查系统日志和错误信息，找出导致任务卡死的原因。可以尝试重启服务器或关闭一些特定的功能来解决问题 。 4、如果以上方法都无法解决问题 ，可以考虑联系系统管理员或技术支持团队 ，寻求更专业的帮助和解决方案 。",,,,
归档日志有什么作用 ?,归档日志是电子档案系统中用于记录归档任务执行过程和结果的部分 。通过查看归档日志，可以了解每个归档任务的执行 状态、时间、结果等信息。如果归档任务出现问题或错误 ，可以通过查看日志来快速定位问题并进行解决 。此外，归档日 志还可以用于监控归档任务的执行效率和优化归档任务的管理和配置 。,,,,
电子会计点击手工归档后 ，报销单没有参与到归档中 ， 原因是什么 ?,可以从档案中台->归档日志查看是否有对应的归档记录 ，如果发现有记录，但归档失败了，可能是因为报销单中上传了发 票信息，但系统无法访问收票系统获取发票信息导致的 。,,,,
归档失败的原因是什么 ?,根据对话记录，归档失败的原因是域名端口的网络权限没有放开 ，导致无法访问收票系统获取发票信息 。,,,,
如何解决归档失败的问题 ?,可以尝试放开域名端口的网络权限 ，或者优化网络设置 ，以便系统能够正常访问收票系统获取发票信息 。,,,,
放开网络权限后需要重新归档吗 ?,放开网络权限后 ，建议重新归档试试看是否能够解决问题 。如果仍然出现问题 ，可以进一步检查日志和其他设置 ，找出问 题的根源并解决 。,,,,
发票云影像抓取的是哪些附件 ?,发票云影像抓取的是单据的附件 ，而不是单据上传发票的附件 。,,,,
单据的附件在什么情况下会被上传到发票云系统中 ?,在电子会计档案中，单据的附件是重要的凭证和证明材料 ，通常在归档时被上传到发票云系统中 ，与其他电子会计档案数 据一起保存和管理 。,,,,
如何通过发票云系统获取对应的单据影像和附件 ?,在发票云系统中，可以通过单据的影像编号来获取对应的单据影像和附件 。系统会根据影像编号找到对应的单据和其附 件，包括发票和其他的附件 。,,,,
单据的附件在电子会计档案中的作用是什么 ?,单据的附件在电子会计档案中起着重要的作用 ，它们可以提供完整的凭证和证明材料 ，确保电子会计档案数据的准确性和 完整性，同时也方便日后的查询和利用 。,,,,
为什么选择将单据的附件上传到发票云系统中 ，而不是 上传单据上传发票的附件 ?,选择将单据的附件上传到发票云系统中 ，可以更好地管理电子会计档案数据 ，方便日后的查询和利用 。同时，单据的附件 通常比上传的发票更为全面和准确的反映了经济业务的实际情况 ，可以更好地提供凭证和证明材料 。,,,,
上传单据的附件对电子会计档案数据有什么影响 ?,上传单据的附件可以确保电子会计档案数据的完整性和准确性 ，提供更为全面的凭证和证明材料 。同时，这也可以方便日 后的查询和利用 ，提高工作效率和准确性 。,,,,
如何在电子会计档案中处理单据的附件 ?,在电子会计档案中，单据的附件通常与其他电子会计档案数据一起保存和管理 。可以通过发票云系统中的影像编号来获取 对应的单据影像和附件，进行查询、检索和管理。具体的处理方式可以参考相关的电子会计档案管理规定和流程 。,,,,
档案借阅能否走审批流 ?,档案借阅可以通过根据云之家或星瀚的审批流程进行审批对接 。,,,,
为什么档案系统没有审批流 ?,可能是因为档案系统在设计和实现时没有考虑到审批流程的需求 ，或者是因为审批流程需要根据具体的业务场景进行定制 和配置，而档案系统没有提供相应的接口或功能 。,,,,
除了云之家和星瀚 ，还有其他平台或系统可以支持档案 借阅的审批流程吗 ?,目前了解到的信息中 ，只有云之家和星瀚支持与档案系统的审批流程对接 。如果需要使用其他平台的审批流程 ，可能需要 与相关平台或系统进行沟通和开发实现 。,,,,
档案系统公有云的 ，反归档提示网络繁忙如何处理 ?,"遇到反归档提示网络繁忙时 ，可以尝试以下步骤 : 1、切换到会计档案室 :先在档案系统中切换到会计档案室模块 。 2、选择账簿 :在会计档案室模块中 ，选择需要反归档的账簿 。 3、切换回归档日志页面 :完成账簿选择后 ，切换回归档日志的页面 。 4、尝试反归档 :再次尝试进行反归档操作 ，如果网络繁忙问题仍然存在 ，可以尝试多次操作或者联系系统管理员进行进 一步处理 。",,,,
扫描点是用来做什么的 ?,扫描点是用于配置 ERP对接使用的影像系统 。,,,,
扫描点如何配置 ERP对接使用的影像系统 ?,扫描点可以通过配置 ERP系统中的相关参数和设置 ，来对接使用的影像系统 。具体的配置方法可能因不同的 ERP系统和影 像系统而有所不同 ，需要参考相关的文档和指导 。,,,,
扫描点在对接过程中起到什么作用 ?,扫描点在对接过程中起到关键的作用 。通过扫描点，ERP系统可以获取和识别影像系统中的数据和信息 ，并将其与业务流 程进行集成和交互 。这样可以提高工作效率和准确性 ，同时也可以降低人为错误的风险 。,,,,
影像系统可以扫描上传哪些东西 ?,影像系统可以扫描上传各种文件和文档 ，如发票、合同、收据、申请表等。,,,,
影像系统如何识别不同类型的文件 ?,影像系统通过识别文件的内容和格式来区分不同类型的文件 。不同的文件类型可能有不同的识别方法和算法 ，但通常会使 用图像处理、文本识别和机器学习等技术进行识别 。,,,,
影像系统如何处理不同类型的文件 ?,影像系统在处理不同类型的文件时 ，会根据文件的格式和内容进行相应的处理 。例如，对于发票文件，影像系统会提取发 票的详细信息，如发票号码、开票日期、金额等，并存储到数据库中。对于合同文件，影像系统可以提取合同的关键信 息，如合同标题、签订日期、合同金额等，并将其提取出来进行后续的利用 。,,,,
影像系统的使用还有什么需要注意的地方 ?,"使用影像系统时 ，需要注意以下几点 : 1、确保扫描的文件清晰 、完整，并且符合规范和要求 。 2、对于不同类型的文件 ，需要进行正确的识别和分类 ，避免混淆和错误处理 。 3、确保扫描的文件和提取的信息能够及时传输到其他系统中 ，保证数据的准确性和及时性。 4、注意保护个人隐私和信息安全 ，避免泄露敏感信息 。 5、定期进行系统的维护和升级 ，确保系统的稳定性和可靠性 。",,,,
如何在提单时只上传合同 ，其它文件不上传到单据 ，但 需要绑定影像单据 ?,在同步模式下，影像系统会同步收票的文件生成影像 。因此，建议使用授牌哦助手采集发票和附件 ，因为附件不会添加到 单据上。在采集时，可以选择只上传合同 ，而不上传其他文件 。这样，发票和合同将会被绑定到影像单据中 ，以供后续审 核调阅 。,,,,
如何在同步模式影像系统中上传文件 ?,"在同步模式影像系统中 ，可以通过以下步骤上传文件 : 1、登录到同步模式影像系统 ，并选择要上传的文件类型 (例如合同或发票 )。 2、点击“上传”按钮，选择要上传的文件 。 3、确认上传的文件是否符合要求 ，并进行必要的修改或调整 。 4、上传成功后 ，文件将会被同步到系统中 ，并可以供后续审核调阅 。 5、需要注意的是，在同步模式影像系统中，上传的文件将会与相关的单据绑定在一起 。因此，在上传文件时，需要确保 文件与相应的单据信息一致 。",,,,
星辰开票失败提示 “设备中没有找到金税盘 ”要如何处 理?,"出现这种情况可能有以下两种原因 : 1、税盘没插好，掉线了。请检查税盘是否插紧，或者尝试更换USB接口重新插入税盘。如果问题仍然存在，可能需要更 换一台电脑或者更换一个税控设备 。 2、如果之前这个税盘在另一台电脑 (例如A电脑)上使用，然后换到另一台电脑 (例如B电脑)上使用，但是之前使用该 税盘的电脑 (即A电脑)的发票管理程序没有关闭 ，可能会导致该提示出现 。在这种情况下 ，需要确保之前使用该税盘的 电脑上的发票管理程序已经关闭 。",,,,
电子发票可以同时推送给多个邮箱吗 ?,"是的，电子发票可以支持同时推送给多个邮箱 。在发送电子发票时，您可以在收件人一栏中输入多个邮箱地址 ，地址之间 使用英文分号(;)进行分隔。请确保邮箱总字符长度不超过 80个字符，以避免发送失败。 
需要注意的是，发送电子发票时需要确保您的邮箱地址是正确的 ，并且目标邮箱能够接收到来自金蝶发票云小程序的邮件 。如果您的邮箱地址不正确或者目标邮箱无法接收邮件 ，可能会导致发送失败。 
如果您在发送电子发票时遇到问题 ，请检查您的邮箱是否已正确设置 ，并确保您输入的收件人地址是否正确 。如果问题仍 然存在，请联系金蝶发票云小程序的技术支持寻求帮助 。",,,,
"星辰ERP开红票失败 ，提示:”系统正在同步中 (DZDZ),请稍后再试 ”",星辰ERP开红票失败是因为系统正在进行同步操作 ，提示“系统正在同步中(DZDZ)，请稍后再试”。这个同步操作可能是 因为电子税务局需要将开具的蓝票同步到电子底账中 ，以便进行红冲操作。由于同步时间可能较长，需要等待电子税务局 完成同步后才能进行红冲操作 。,,,,
"为什么电子税务局需要同步到电子底账才能进行红冲操
作?",电子税务局需要同步到电子底账才能进行红冲操作 ，是因为红冲操作需要更新相关的发票信息 ，包括发票号码、发票代码 、开票日期等。这些信息的更新需要在电子底账中进行 ，以便与已开具的蓝票信息进行匹配和更新 。因此，在电子税务局 中开具的蓝票需要先同步到电子底账中 ，才能进行红冲操作。,,,,
为什么星辰ERP开红票需要等待电子税务局同步完成 ?,星辰ERP开红票需要等待电子税务局同步完成 ，是因为电子税务局是负责管理发票和税务数据的机构 。在开票过程中，星 辰ERP需要通过与电子税务局的数据交互来实现开票和红冲操作 。如果电子税务局正在进行同步操作 ，那么星辰ERP需要 等待同步完成后再进行红冲操作 ，以确保数据的准确性和完整性 。,,,,
为什么建议客户在开蓝票两小时后再进行红冲操作 ?,建议客户在开蓝票两小时后再进行红冲操作 ，是因为在电子税务局中开具的蓝票需要同步到电子底账中 ，这个过程可能需 要一定的时间。具体同步时间可能会因地区和网络等因素而有所不同 ，但一般来说需要15分钟到2小时不等。为了确保同 步完成，建议客户在开蓝票两小时后再进行红冲操作 ，这样可以避免因同步未完成而导致红冲失败的情况发生 。,,,,
星辰ERP开票失败，提示:开票信息与当前账户不一致,开票失败的原因可能是企业名称或企业税号配置错误 。常见的情况是，企业名称中的括号一般为中文 ，但客户配置的是英 文。,,,,
开具红字发票时提示网络繁忙的原因是什么 ?,"开具红字发票时提示网络繁忙 ，可能有以下原因 : 1、对应的蓝字发票不是用发票云开具 :如果对应的蓝字发票不是用发票云开具 ，发票云无法获取到开红票的相关信息 ， 如发票号码 、金额、开票日期等 。 2、网络连接不稳定:如果网络连接不稳定，可能会导致红票开具时出现网络繁忙的提示 。可以尝试检查网络连接是否正 常，并确保客户端与服务器之间的通信没有受到干扰 。",,,,
星辰ERP开票时出现 “未查询到您与该企业的关联关系信 息，请确认录入的信息是否正确 ”的提示，如何处理?,"出现“未查询到您与该企业的关联关系信息 ”的提示，可能是由于以下原因导致的 : 1、录入的信息有误 ，例如企业名称 、税号等不正确 ; 2、企业与系统之间没有建立关联关系 ，或者关联关系已到期 ; 3、系统出现故障或错误 ，导致无法查询相关信息 。 
针对以上原因 ，可以采取以下处理措施 : 1、仔细核对企业信息是否正确 ，确保录入的信息与实际企业信息一致 ; 2、如果企业与系统之间没有建立关联关系 ，需要先建立关联关系后再进行开票操作可以联系星辰 ERP的技术支持人员协助 处理;",,,,
星辰ERP纳税管理模块权益到期导致无法开票 ，如何处 理?,"开票权益到期导致无法开票的问题 ，可以采取以下处理措施 : 1、如果账套实际未到期，可以联系星辰ERP售后同事协助处理，可能是由于系统同步问题导致开票权益到期 ; 2、如果账套实际已到期 ，需要联系星辰 ERP售后同事协助处理 ，可能需要续费或重新购买开票权益 。 需要注意的是 ，如果开票权益到期未及时处理 ，可能会影响企业的正常开票业务 ，因此建议及时联系相关的技术支持人员 协助处理 。",,,,
智慧管家客户端如何绑定多个企业 (租户)?,要绑定多个企业 (租户)在智慧管家客户端 ，可以按照以下步骤操作 : 1、扫码进入金蝶发票云公众号 ，然后在我的服务中点击电子税务局 。 2、在电子税务局中，点击添加租户，然后依次输入各个公司邮件里的激活码 ，点击添加租户完成。 3、登录智慧管家客户端 ，在客户端的界面上可以直接点击公司名称 ，切换到不同的公司 。 4、通过以上步骤，就可以在智慧管家客户端中绑定多个企业 (租户)。,,,,
星辰客户企业认证报错提示 “调用调用认证接口失败 ， 该用户未注册，请在自然人业务入口进行用户注册 ”的 原因是什么 ?,出现这个错误提示的原因可能是输入的电子税局账号有误 。当输入的电子税局账号与实际账号不匹配时 ，就会导致调用认 证接口失败 ，并提示用户未注册 。在这种情况下 ，需要核查并修正电子税局账号 ，确保输入正确的账号信息 。 另外，如果账号信息正确 ，但仍然出现该错误提示 ，可能需要检查网络连接或等待一段时间 ，以便系统能够恢复正常 。如 果以上方法都无法解决问题 ，可以联系星辰客户或电子税局的技术支持 ，寻求进一步帮助 。,,,,
如何解决星辰客户企业认证报错提示 “调用调用认证接 口失败，该用户未注册，请在自然人业务入口进行用户 注册”的问题?,"要解决星辰客户企业认证报错提示 “调用调用认证接口失败 ，该用户未注册 ，请在自然人业务入口进行用户注册 ”的问题， 可以尝试以下方法 : 1、核查修正电子税局账号信息 :确认输入的电子税局账号是否正确 ，如果有误，需要修正为正确的账号信息 。 2、检查网络连接:确保网络连接稳定，如果网络不稳定可能会导致调用认证接口失败 。 
3、清除浏览器缓存 :浏览器缓存可能会干扰数据请求 ，清除浏览器缓存可以尝试解决这个问题 。 4、联系技术支持 :如果以上方法都无法解决问题 ，可以联系星辰客户或电子税局的技术支持 ，寻求进一步帮助 。",,,,
为什么在微信公众号登录电子税局时出现 “地址或参数 错误，请检查”的报错提示?,"1、系统维护或升级 :电子税局可能会定期进行系统维护或升级 。在维护或升级期间 ，可能会出现登录失败的情况 。请等 待维护或升级完成后再次尝试登录 。 2、提供公司名称 、税号给发票云售后人员处理",,,,
电子影像档案系统是否支持断点续传模式 ?,电子影像档案系统不支持断点续传模式 。,,,,
电子影像档案系统是否支持离线扫描 ?,电子影像档案系统支持离线扫描 。,,,,
断点续传模式和离线扫描都不支持 ，是都不支持还是仅 断点续传不支持 ?,目前断点续传模式和离线扫描都不支持 。关于是否需要支持这些功能 ，需要根据具体客户需求进行评估和讨论 。,,,,
电子影像档案系统的上传模式是什么 ?,电子影像档案系统的上传模式是边扫边传 ，即扫描完成后会自动进行上传 。,,,,
如果需要实现断点续传和离线扫描功能 ，需要如何实 现?,如果需要实现断点续传和离线扫描功能 ，可能需要通过加后台服务或客户端等方式进行定制化开发实现 。具体实现方式需 要根据具体项目需求和技术条件进行评估和讨论 。,,,,
星瀚发票云实现自动开票是否需要业务系统传送可以自 动开票的标记 ?,是的，星瀚发票云实现自动开票需要业务系统传送可以自动开票的标记 。,,,,
星瀚发票云是否有自动开票规则可以配置 ?,星瀚发票云可以配置自动开票规则 ，但需要业务系统推送自动开票的标记 。,,,,
如何推送自动开票的标记 ?,具体的推送方式需要与业务系统相关 ，需要业务系统支持向星瀚发票云推送自动开票标记的功能 。,,,,
推送自动开票的标记后 ，星瀚发票云如何处理 ?,推送自动开票的标记后 ，星瀚发票云会根据配置的自动开票规则进行相应的处理 ，如根据特定条件自动开具发票 。,,,,
如果业务系统未推送自动开票的标记 ，星瀚发票云会如 何处理 ?,如果业务系统未推送自动开票的标记 ，星瀚发票云将无法自动开具发票 ，需要人工介入进行处理 。,,,,
连号校验在EAS中是否可以实现全集团内的校验 ?,不支持。目前EAS中的连号校验只能在一个组织内进行 ，无法实现全集团内的校验 。,,,,
能否通过批量导入组织来实现全集团内的连号校验 ?,不能。由于EAS中的连号校验只能在一个组织内进行 ，因此通过批量导入组织也无法实现全集团内的连号校验 。,,,,
"目前连号校验是否可以同时校验不同单据关联发票的连
号?",可以。目前连号校验可以同时校验不同单据关联发票的连号 ，但只能在一个组织内进行 。,,,,
星瀚发票云是否支持全集团的连号校验 ?,星瀚发票云目前已经支持全集团的连号校验 。,,,,
客户希望在收票单中选择全电发票时 ，只允许上传全电 源文件，不允许上传图片或其他格式的发票 ，是否支持 此功能 ?,目前不支持此功能。因为全电发票的税局没有明文规定源文件的要求 ，所以我们不会限制只允许上传全电源文件不允许上 传图片或其他格式的发票,,,,
KIS上能否下载生成通行费发票的凭证 ?,KIS系统不支持直接下载生成通行费发票的凭证 。,,,,
客户反馈下载通行费发票没反应的原因是什么 ?,客户反馈下载通行费发票没反应可能是因为 KIS系统没有将该发票类型正确归类 。实际上，税务机关将通行费电子发票从 增值税电子普通发票中区分出来作为一个单独的发票类型 。,,,,
为什么KIS系统将某些通行费发票归为电子普通发票而 不是通行费发票 ?,KIS系统可能将某些通行费发票归为电子普通发票 ，是因为这些发票的格式与其他电子普通发票相同 。但是，这些发票实 际上是通行费电子发票 ，应该归类为通行费发票而非电子普通发票 。,,,,
我们只支持从勾选平台下载哪些类型的通行费发票 ?,我们只支持从勾选平台下载收费公路通行费增值税电子普通发票 ，即税务机关将该类发票从其他电子普通发票中区分出来 的通行费电子发票 。,,,,
云星空费用报销通过发票云收票 ，客运服务费(滴滴) 能否按照行程单明细填报 ?,我们不支持识别网约车行程单 ，因此无法直接根据行程单明细填报客运服务费 。,,,,
为什么发票云不支持识别网约车行程单 ?,"发票云不支持识别网约车行程单的原因可能有以下几点 : 1、行程单格式不统一:不同的网约车平台或服务商提供的行程单格式可能存在差异 ，这可能导致发票云无法准确地识别 和解析行程单信息 。 2、信息缺失或不完整:有些行程单可能包含的信息不完整或不准确 ，例如缺少关键的行程时间、路线、费用等信息，这 也会影响发票云的识别效果 。 3、隐私保护问题:行程单可能包含用户的个人信息和隐私 ，如具体的起终点地址、出行时间等，如果直接上传至发票云 进行识别，可能会引发隐私保护的问题 。",,,,
小程序邮箱取票功能中 ，单次最多可以添加多少个附 件?,在小程序邮箱取票功能中 ，单次最多可以添加的附件数量没有特定的限制 ，但每个附件的大小不能超过 10M。,,,,
开收票产品是否考虑支持繁体中文 /英文的语言包?,目前产品暂时都不支持多语言 ，收票小程序在计划中 ，后续会发版支持,,,,
